name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
1275260,93.139,-6.465,273.262,1.1462219938137695e-06,2.0,0.07063062380068141,78,0.5,S230518h,1275260,1.1462219938137695e-06
1307155,95.833,-13.163,248.011,1.1420791973174572e-06,0.7,0.02462621556416427,79,0.5,S230518h,1307155,1.1420791973174572e-06
72670,84.559,4.816,241.208,1.1384855294788058e-06,3.0,0.10523472720085987,80,0.5,S230518h,72670,1.1384855294788058e-06
57094,84.781,2.779,249.332,1.1343111251375888e-06,2.0,0.0698965894168114,81,0.5,S230518h,57094,1.1343111251375888e-06
1307158,95.978,-12.054,277.969,1.132891948899017e-06,1.2,0.04188231180969453,82,0.5,S230518h,1307158,1.132891948899017e-06
57881,84.963,4.312,248.442,1.1317353738382196e-06,1.2,0.04183954586783591,83,0.5,S230518h,57881,1.1317353738382196e-06
51032,85.063,4.250,272.443,1.1317353738382196e-06,2.0,0.06973785288218602,84,0.5,S230518h,51032,1.1317353738382196e-06
52998,84.058,5.103,221.454,1.12892031486205e-06,1.0,0.03477822690688686,85,0.5,S230518h,52998,1.12892031486205e-06
1303307,94.173,-11.163,245.696,1.1276491809142845e-06,3.0,0.10423300524528169,86,0.5,S230518h,1303307,1.1276491809142845e-06
51056,85.489,3.991,266.834,1.1271697439257774e-06,5.0,0.17365308585630568,87,0.5,S230518h,51056,1.1271697439257774e-06
1301652,92.567,-9.010,251.636,1.1255709302131117e-06,0.8,0.02773843321473202,88,0.5,S230518h,1301652,1.1255709302131117e-06
51036,85.027,2.193,219.879,1.1250709951983448e-06,4.0,0.1386622054227672,89,0.5,S230518h,51036,1.1250709951983448e-06
52977,83.808,5.406,214.885,1.1242137046323826e-06,1.1,0.03809731050235425,90,0.5,S230518h,52977,1.1242137046323826e-06
1031690,85.922,0.977,235.933,1.1242042796329542e-06,14.0,0.48496361238216346,91,0.5,S230518h,1031690,1.1242042796329542e-06
51065,85.863,0.858,281.285,1.1242042796329542e-06,2.0,0.06927373206571828,92,0.5,S230518h,51065,1.1242042796329542e-06
107256,85.972,1.013,229.139,1.1242042796329542e-06,0.5,0.01731249702616263,93,0.5,S230518h,107256,1.1242042796329542e-06
