#id,ra,dec
540,137.56308713961934,-29.19945
541,138.4801743872168,-29.19945
542,139.39726163481427,-29.19945
543,140.31434888241174,-29.19945
544,141.2314361300092,-29.19945
545,142.14852337760667,-29.19945
546,143.06561062520413,-29.19945
547,143.9826978728016,-29.19945
548,144.89978512039903,-29.19945
549,145.8168723679965,-29.19945
550,146.73395961559396,-29.19945
551,147.65104686319143,-29.19945
552,148.5681341107889,-29.19945
553,149.48522135838635,-29.19945
554,150.40230860598382,-29.19945
555,151.31939585358128,-29.19945
556,152.23648310117875,-29.19945
557,153.1535703487762,-29.19945
558,154.07065759637368,-29.19945
559,154.98774484397111,-29.19945
560,155.90483209156858,-29.19945
561,156.82191933916604,-29.19945
562,157.7390065867635,-29.19945
563,158.65609383436097,-29.19945
564,159.57318108195844,-29.19945
565,160.4902683295559,-29.19945
566,161.40735557715337,-29.19945
567,162.32444282475083,-29.19945
568,163.2415300723483,-29.19945
569,164.15861731994576,-29.19945
570,165.07570456754323,-29.19945
571,165.99279181514066,-29.19945
572,166.90987906273813,-29.19945
573,167.8269663103356,-29.19945
574,168.74405355793306,-29.19945
575,169.66114080553052,-29.19945
576,170.578228053128,-29.19945
577,171.49531530072545,-29.19945
578,172.41240254832292,-29.19945
579,173.32948979592038,-29.19945
580,174.24657704351785,-29.19945
581,175.1636642911153,-29.19945
582,176.08075153871278,-29.19945
583,176.9978387863102,-29.19945
584,177.91492603390768,-29.19945
585,178.83201328150514,-29.19945
586,179.7491005291026,-29.19945
587,180.66618777670007,-29.19945
588,181.58327502429754,-29.19945
589,182.500362271895,-29.19945
590,183.41744951949246,-29.19945
591,184.33453676708993,-29.19945
592,185.2516240146874,-29.19945
593,186.16871126228486,-29.19945
594,187.0857985098823,-29.19945
595,188.00288575747976,-29.19945
596,188.91997300507722,-29.19945
597,189.8370602526747,-29.19945
598,190.75414750027215,-29.19945
599,191.67123474786962,-29.19945
600,192.58832199546708,-29.19945
601,193.50540924306455,-29.19945
602,194.422496490662,-29.19945
603,195.33958373825948,-29.19945
604,196.25667098585694,-29.19945
605,197.1737582334544,-29.19945
606,198.09084548105184,-29.19945
607,199.0079327286493,-29.19945
608,199.92501997624677,-29.19945
609,200.84210722384424,-29.19945
610,201.7591944714417,-29.19945
611,202.67628171903917,-29.19945
612,203.59336896663663,-29.19945
613,204.5104562142341,-29.19945
614,205.42754346183156,-29.19945
615,206.34463070942903,-29.19945
616,207.2617179570265,-29.19945
617,208.17880520462393,-29.19945
618,209.0958924522214,-29.19945
619,210.01297969981886,-29.19945
620,210.93006694741632,-29.19945
621,211.8471541950138,-29.19945
622,212.76424144261125,-29.19945
623,213.68132869020872,-29.19945
624,214.59841593780618,-29.19945
625,215.51550318540365,-29.19945
626,216.4325904330011,-29.19945
627,217.34967768059857,-29.19945
628,218.26676492819604,-29.19945
629,219.18385217579348,-29.19945
630,220.10093942339094,-29.19945
631,221.0180266709884,-29.19945
632,221.93511391858587,-29.19945
633,222.85220116618333,-29.19945
634,223.7692884137808,-29.19945
635,224.68637566137826,-29.19945
636,225.60346290897573,-29.19945
637,226.5205501565732,-29.19945
638,227.43763740417066,-29.19945
639,228.35472465176812,-29.19945
640,229.2718118993656,-29.19945
641,230.18889914696302,-29.19945
642,231.1059863945605,-29.19945
643,232.02307364215795,-29.19945
644,232.94016088975542,-29.19945
645,233.85724813735288,-29.19945
646,234.77433538495035,-29.19945
647,235.6914226325478,-29.19945
648,236.60850988014528,-29.19945
649,237.52559712774274,-29.19945
650,238.4426843753402,-29.19945
651,239.35977162293767,-29.19945
652,240.2768588705351,-29.19945
653,241.19394611813257,-29.19945
654,242.11103336573004,-29.19945
655,243.0281206133275,-29.19945
656,243.94520786092497,-29.19945
657,244.86229510852243,-29.19945
658,245.7793823561199,-29.19945
659,246.69646960371736,-29.19945
660,247.61355685131483,-29.19945
661,248.5306440989123,-29.19945
662,249.44773134650976,-29.19945
663,250.36481859410722,-29.19945
664,251.28190584170466,-29.19945
665,252.19899308930212,-29.19945
666,253.11608033689959,-29.19945
667,254.03316758449705,-29.19945
668,254.95025483209452,-29.19945
669,255.86734207969198,-29.19945
670,256.78442932728944,-29.19945
671,257.7015165748869,-29.19945
672,258.6186038224844,-29.19945
673,259.53569107008184,-29.19945
674,260.4527783176793,-29.19945
675,261.36986556527677,-29.19945
676,262.28695281287423,-29.19945
677,263.2040400604717,-29.19945
678,264.12112730806916,-29.19945
679,265.0382145556666,-29.19945
680,265.9553018032641,-29.19945
681,266.8723890508615,-29.19945
682,267.78947629845896,-29.19945
683,268.70656354605643,-29.19945
684,269.6236507936539,-29.19945
685,270.54073804125136,-29.19945
686,271.4578252888488,-29.19945
687,272.3749125364463,-29.19945
688,273.29199978404375,-29.19945
689,274.2090870316412,-29.19945
690,275.1261742792387,-29.19945
691,276.04326152683615,-29.19945
692,276.9603487744336,-29.19945
693,277.8774360220311,-29.19945
