ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4
94.44939489782489,13.585500000000065,94.44939489782489,14.475000000000067,95.33889489782489,14.475000000000067,95.33889489782489,13.585500000000065
95.27456137519728,13.585500000000065,95.27456137519728,14.475000000000067,96.16406137519728,14.475000000000067,96.16406137519728,13.585500000000065
96.09972785256967,13.585500000000065,96.09972785256967,14.475000000000067,96.98922785256967,14.475000000000067,96.98922785256967,13.585500000000065
96.92489432994206,13.585500000000065,96.92489432994206,14.475000000000067,97.81439432994206,14.475000000000067,97.81439432994206,13.585500000000065
97.75006080731445,13.585500000000065,97.75006080731445,14.475000000000067,98.63956080731445,14.475000000000067,98.63956080731445,13.585500000000065
98.57522728468685,13.585500000000065,98.57522728468685,14.475000000000067,99.46472728468684,14.475000000000067,99.46472728468684,13.585500000000065
99.40039376205924,13.585500000000065,99.40039376205924,14.475000000000067,100.28989376205924,14.475000000000067,100.28989376205924,13.585500000000065
100.22556023943163,13.585500000000065,100.22556023943163,14.475000000000067,101.11506023943163,14.475000000000067,101.11506023943163,13.585500000000065
101.05072671680401,13.585500000000065,101.05072671680401,14.475000000000067,101.940226716804,14.475000000000067,101.940226716804,13.585500000000065
101.8758931941764,13.585500000000065,101.8758931941764,14.475000000000067,102.7653931941764,14.475000000000067,102.7653931941764,13.585500000000065
102.70105967154879,13.585500000000065,102.70105967154879,14.475000000000067,103.59055967154879,14.475000000000067,103.59055967154879,13.585500000000065
103.52622614892118,13.585500000000065,103.52622614892118,14.475000000000067,104.41572614892118,14.475000000000067,104.41572614892118,13.585500000000065
104.35139262629357,13.585500000000065,104.35139262629357,14.475000000000067,105.24089262629357,14.475000000000067,105.24089262629357,13.585500000000065
105.17655910366597,13.585500000000065,105.17655910366597,14.475000000000067,106.06605910366596,14.475000000000067,106.06605910366596,13.585500000000065
106.00172558103836,13.585500000000065,106.00172558103836,14.475000000000067,106.89122558103836,14.475000000000067,106.89122558103836,13.585500000000065
106.82689205841075,13.585500000000065,106.82689205841075,14.475000000000067,107.71639205841075,14.475000000000067,107.71639205841075,13.585500000000065
107.65205853578314,13.585500000000065,107.65205853578314,14.475000000000067,108.54155853578314,14.475000000000067,108.54155853578314,13.585500000000065
108.47722501315553,13.585500000000065,108.47722501315553,14.475000000000067,109.36672501315553,14.475000000000067,109.36672501315553,13.585500000000065
109.30239149052792,13.585500000000065,109.30239149052792,14.475000000000067,110.19189149052792,14.475000000000067,110.19189149052792,13.585500000000065
110.1275579679003,13.585500000000065,110.1275579679003,14.475000000000067,111.0170579679003,14.475000000000067,111.0170579679003,13.585500000000065
110.9527244452727,13.585500000000065,110.9527244452727,14.475000000000067,111.84222444527269,14.475000000000067,111.84222444527269,13.585500000000065
111.77789092264508,13.585500000000065,111.77789092264508,14.475000000000067,112.66739092264508,14.475000000000067,112.66739092264508,13.585500000000065
112.60305740001748,13.585500000000065,112.60305740001748,14.475000000000067,113.49255740001747,14.475000000000067,113.49255740001747,13.585500000000065
113.42822387738987,13.585500000000065,113.42822387738987,14.475000000000067,114.31772387738987,14.475000000000067,114.31772387738987,13.585500000000065
114.25339035476226,13.585500000000065,114.25339035476226,14.475000000000067,115.14289035476226,14.475000000000067,115.14289035476226,13.585500000000065
115.07855683213465,13.585500000000065,115.07855683213465,14.475000000000067,115.96805683213465,14.475000000000067,115.96805683213465,13.585500000000065
115.90372330950704,13.585500000000065,115.90372330950704,14.475000000000067,116.79322330950704,14.475000000000067,116.79322330950704,13.585500000000065
116.72888978687944,13.585500000000065,116.72888978687944,14.475000000000067,117.61838978687943,14.475000000000067,117.61838978687943,13.585500000000065
117.55405626425183,13.585500000000065,117.55405626425183,14.475000000000067,118.44355626425182,14.475000000000067,118.44355626425182,13.585500000000065
118.3792227416242,13.585500000000065,118.3792227416242,14.475000000000067,119.2687227416242,14.475000000000067,119.2687227416242,13.585500000000065
119.2043892189966,13.585500000000065,119.2043892189966,14.475000000000067,120.0938892189966,14.475000000000067,120.0938892189966,13.585500000000065
120.02955569636899,13.585500000000065,120.02955569636899,14.475000000000067,120.91905569636899,14.475000000000067,120.91905569636899,13.585500000000065
120.85472217374138,13.585500000000065,120.85472217374138,14.475000000000067,121.74422217374138,14.475000000000067,121.74422217374138,13.585500000000065
121.67988865111377,13.585500000000065,121.67988865111377,14.475000000000067,122.56938865111377,14.475000000000067,122.56938865111377,13.585500000000065
122.50505512848616,13.585500000000065,122.50505512848616,14.475000000000067,123.39455512848616,14.475000000000067,123.39455512848616,13.585500000000065
123.33022160585855,13.585500000000065,123.33022160585855,14.475000000000067,124.21972160585855,14.475000000000067,124.21972160585855,13.585500000000065
124.15538808323095,13.585500000000065,124.15538808323095,14.475000000000067,125.04488808323094,14.475000000000067,125.04488808323094,13.585500000000065
124.98055456060334,13.585500000000065,124.98055456060334,14.475000000000067,125.87005456060334,14.475000000000067,125.87005456060334,13.585500000000065
125.80572103797573,13.585500000000065,125.80572103797573,14.475000000000067,126.69522103797573,14.475000000000067,126.69522103797573,13.585500000000065
126.63088751534812,13.585500000000065,126.63088751534812,14.475000000000067,127.52038751534812,14.475000000000067,127.52038751534812,13.585500000000065
