#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
557,103.448,-22.979,104.526,-21.975,104.543,-23.975,102.354,-23.975,102.370,-21.975,300,1.712,71,0.9,S230518h,557,1.712
2744,86.170,0.000,87.170,1.000,87.170,-1.000,85.170,-1.000,85.170,1.000,31,1.705,72,0.9,S230518h,2744,1.705
6097,122.553,-76.000,126.411,-74.967,126.990,-76.962,118.117,-76.962,118.696,-74.967,261,1.665,73,0.9,S230518h,6097,1.665
7219,108.529,-42.000,109.854,-40.992,109.896,-42.992,107.162,-42.992,107.205,-40.992,457,1.662,74,0.9,S230518h,7219,1.662
3118,82.781,3.830,83.784,4.829,83.782,2.829,81.780,2.829,81.777,4.829,184,1.660,75,0.9,S230518h,3118,1.660
6141,114.146,-78.000,118.583,-76.962,119.372,-78.955,108.920,-78.955,109.710,-76.962,165,1.630,76,0.9,S230518h,6141,1.630
905,97.079,-19.149,98.131,-18.146,98.144,-20.146,96.014,-20.146,96.026,-18.146,288,1.630,77,0.9,S230518h,905,1.630
7735,114.958,-50.000,116.482,-48.990,116.547,-50.989,113.369,-50.989,113.434,-48.990,295,1.614,78,0.9,S230518h,7735,1.614
7613,114.146,-48.000,115.612,-46.990,115.670,-48.990,112.623,-48.990,112.680,-46.990,355,1.609,79,0.9,S230518h,7613,1.609
1085,100.000,-17.234,101.041,-16.231,101.053,-18.231,98.947,-18.231,98.959,-16.231,40,1.601,80,0.9,S230518h,1085,1.601
1813,92.903,-9.574,93.914,-8.573,93.920,-10.573,91.886,-10.573,91.892,-8.573,41,1.579,81,0.9,S230518h,1813,1.579
6275,144.000,-88.000,162.441,-86.838,189.004,-88.586,98.996,-88.586,125.559,-86.838,321,1.525,82,0.9,S230518h,6275,1.525
8071,110.769,-56.000,112.512,-54.987,112.605,-56.987,108.934,-56.987,109.026,-54.987,263,1.514,83,0.9,S230518h,8071,1.514
1630,97.297,-11.489,98.314,-10.488,98.321,-12.488,96.273,-12.488,96.280,-10.488,45,1.484,84,0.9,S230518h,1630,1.484
