#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
34,98.710,-28.286,100.215,-26.935,100.254,-29.620,97.166,-29.620,97.204,-26.935,60,0.321,70,0.99,S230518h,34,0.321
1594,334.101,0.000,335.443,1.343,335.443,-1.343,332.758,-1.343,332.758,1.343,273,0.320,71,0.99,S230518h,1594,0.320
2714,66.977,23.143,68.451,24.479,68.422,21.794,65.531,21.794,65.502,24.479,48,0.308,72,0.99,S230518h,2714,0.308
2585,71.450,20.571,72.897,21.908,72.872,19.223,70.029,19.223,70.004,21.908,44,0.303,73,0.99,S230518h,2585,0.303
2319,72.537,15.429,73.939,16.767,73.921,14.082,71.154,14.082,71.136,16.767,22,0.301,74,0.99,S230518h,2319,0.301
1087,96.522,-7.714,97.872,-6.370,97.881,-9.055,95.163,-9.055,95.171,-6.370,29,0.285,75,0.99,S230518h,1087,0.285
1872,336.522,5.143,337.873,6.484,337.867,3.799,335.177,3.799,335.171,6.484,215,0.279,76,0.99,S230518h,1872,0.279
1734,336.691,2.571,338.036,3.913,338.033,1.228,335.348,1.228,335.345,3.913,177,0.277,77,0.99,S230518h,1734,0.277
1038,328.467,-10.286,329.826,-8.940,329.837,-11.625,327.097,-11.625,327.109,-8.940,159,0.266,78,0.99,S230518h,1038,0.266
2583,65.954,20.571,67.401,21.908,67.376,19.223,64.533,19.223,64.508,21.908,31,0.228,79,0.99,S230518h,2583,0.228
2842,65.714,25.714,67.221,27.049,67.188,24.364,64.241,24.364,64.207,27.049,49,0.201,80,0.99,S230518h,2842,0.201
1910,75.652,7.714,77.011,9.055,77.003,6.370,74.302,6.370,74.293,9.055,94,0.201,81,0.99,S230518h,1910,0.201
2966,60.968,28.286,62.512,29.620,62.473,26.935,59.462,26.935,59.424,29.620,125,0.182,82,0.99,S230518h,2966,0.182
2963,52.258,28.286,53.802,29.620,53.764,26.935,50.753,26.935,50.714,29.620,66,0.175,83,0.99,S230518h,2963,0.175
1733,334.101,2.571,335.446,3.913,335.443,1.228,332.758,1.228,332.755,3.913,155,0.173,84,0.99,S230518h,1733,0.173
1914,86.087,7.714,87.446,9.055,87.437,6.370,84.736,6.370,84.728,9.055,22,0.171,85,0.99,S230518h,1914,0.171
2318,69.851,15.429,71.252,16.767,71.234,14.082,68.467,14.082,68.449,16.767,32,0.165,86,0.99,S230518h,2318,0.165
2051,84.088,10.286,85.458,11.625,85.446,8.940,82.729,8.940,82.717,11.625,25,0.153,87,0.99,S230518h,2051,0.153
1455,334.101,-2.571,335.443,-1.228,335.446,-3.913,332.755,-3.913,332.758,-1.228,90,0.153,88,0.99,S230518h,1455,0.153
815,100.588,-12.857,101.958,-11.511,101.973,-14.196,99.204,-14.196,99.219,-11.511,28,0.148,89,0.99,S230518h,815,0.148
2183,71.471,12.857,72.855,14.196,72.840,11.511,70.101,11.511,70.086,14.196,27,0.146,90,0.99,S230518h,2183,0.146
1314,328.696,-5.143,330.041,-3.799,330.046,-6.484,327.345,-6.484,327.351,-3.799,82,0.144,91,0.99,S230518h,1314,0.144
2838,54.286,25.714,55.793,27.049,55.759,24.364,52.812,24.364,52.779,27.049,121,0.136,92,0.99,S230518h,2838,0.136
2962,49.355,28.286,50.899,29.620,50.860,26.935,47.849,26.935,47.811,29.620,31,0.135,93,0.99,S230518h,2962,0.135
288,106.047,-23.143,107.492,-21.794,107.521,-24.479,104.572,-24.479,104.601,-21.794,20,0.135,94,0.99,S230518h,288,0.135
417,104.427,-20.571,105.849,-19.223,105.874,-21.908,102.981,-21.908,103.006,-19.223,22,0.132,95,0.99,S230518h,417,0.132
2582,63.206,20.571,64.653,21.908,64.628,19.223,61.785,19.223,61.759,21.908,18,0.127,96,0.99,S230518h,2582,0.127
1084,88.696,-7.714,90.046,-6.370,90.055,-9.055,87.337,-9.055,87.345,-6.370,15,0.121,97,1.0,S230518h,1084,0.121
1635,80.288,2.571,81.633,3.913,81.630,1.228,78.945,1.228,78.943,3.913,106,0.121,98,1.0,S230518h,1635,0.121
1777,88.696,5.143,90.046,6.484,90.041,3.799,87.351,3.799,87.345,6.484,26,0.117,99,1.0,S230518h,1777,0.117
1359,85.468,-2.571,86.810,-1.228,86.813,-3.913,84.122,-3.913,84.125,-1.228,20,0.117,100,1.0,S230518h,1359,0.117
2711,58.605,23.143,60.079,24.479,60.050,21.794,57.159,21.794,57.130,24.479,100,0.105,101,1.0,S230518h,2711,0.105
2715,69.767,23.143,71.242,24.479,71.213,21.794,68.322,21.794,68.293,24.479,41,0.102,102,1.0,S230518h,2715,0.102
2047,73.577,10.286,74.947,11.625,74.935,8.940,72.218,8.940,72.206,11.625,25,0.094,103,1.0,S230518h,2047,0.094
1639,90.647,2.571,91.993,3.913,91.990,1.228,89.305,1.228,89.302,3.913,26,0.077,104,1.0,S230518h,1639,0.077
2011,339.130,7.714,340.490,9.055,340.481,6.370,337.780,6.370,337.771,9.055,81,0.075,105,1.0,S230518h,2011,0.075
2454,75.789,18.000,77.212,19.337,77.190,16.652,74.389,16.652,74.367,19.337,17,0.071,106,1.0,S230518h,2454,0.071
1593,331.511,0.000,332.853,1.343,332.853,-1.343,330.168,-1.342,330.168,1.342,91,0.068,107,1.0,S230518h,1593,0.068
